No.,Time,Source,Destination,Protocol,Length,Info
71625,461.723655,104.121.100.150,192.168.137.174,HTTP,1300,HTTP/1.1 200 OK  (PNG)
71638,461.914537,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/b/b87d913626839bac92b12719992150201da396c8-933856.png?country=us HTTP/1.1 
71982,462.137882,104.121.100.150,192.168.137.174,HTTP,1068,HTTP/1.1 200 OK  (PNG)
71998,462.331409,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/f08a601b18263b56153c9170fefe3f6e00dcfd72-933855.png?country=us HTTP/1.1 
72339,462.543007,104.121.100.150,192.168.137.174,HTTP,372,HTTP/1.1 200 OK  (PNG)
72351,462.770534,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP0002/PCSE00655_00/qHEOKJTKipmokVVTWJImwGZijfCrMdKo.png?country=us HTTP/1.1 
72368,462.806584,23.205.106.188,192.168.137.174,HTTP,1472,HTTP/1.1 200 OK  (PNG)
72418,463.698898,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP8906-PCSE00839_00-0000000000000001-U001 HTTP/1.1 
72420,463.728005,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
72431,465.365701,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP4073/PCSE00228_00/7QxSf4BaitPfZRZEY8WFxaXJwjfgihT4.png?country=us HTTP/1.1 
72487,465.412235,23.205.106.188,192.168.137.174,HTTP,828,HTTP/1.1 200 OK  (PNG)
72527,466.241004,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/9/9bc9cded6694a60da3f9c6c971695b2b8601d772-633997.png?country=us HTTP/1.1 
72622,466.341583,192.168.137.174,23.205.104.54,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP4101-PCSE00111_00-B000000000000235-U004 HTTP/1.1 
72689,466.36947,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
72691,466.372751,104.121.100.150,192.168.137.174,HTTP,1275,HTTP/1.1 200 OK  (PNG)
72716,466.719946,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/ffbeb5a0ab032cd5f3283e6157835edc9a12e1ef-633996.png?country=us HTTP/1.1 
72880,466.845685,104.121.100.150,192.168.137.174,HTTP,705,HTTP/1.1 200 OK  (PNG)
72890,466.972483,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/f2910fe6511fde5b9bbe1a6b1f6d2a687d96cd07-633995.png?country=us HTTP/1.1 
73036,467.426627,104.121.100.150,192.168.137.174,HTTP,396,HTTP/1.1 200 OK  (PNG)
