"No.","Time","Source","Destination","Protocol","Length","Info"
"121","6.492885","104.82.23.30","192.168.137.186","TLSv1.1","887","Certificate, Server Hello Done"
"122","6.575082","54.69.67.84","192.168.137.186","TLSv1.1","375","Application Data"
"123","6.585282","192.168.137.186","104.82.23.30","TLSv1.1","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"124","6.585282","192.168.137.186","54.69.67.84","TLSv1.1","119","Encrypted Alert"
"125","6.585282","192.168.137.186","54.69.67.84","TCP","66","59332  >  443 [FIN, ACK] Seq=717 Ack=2588 Win=65535 Len=0 TSval=1 TSecr=1132465700"
"126","6.587574","192.168.137.186","192.168.137.1","DNS","112","Standard query 0x2527 A 52-11-11-135-pushcl.np.communication.playstation.net"
"127","6.614341","104.82.23.30","192.168.137.186","TCP","66","443  >  59331 [ACK] Seq=6366 Ack=403 Win=30080 Len=0 TSval=421654385 TSecr=0"
"128","6.619969","104.82.23.30","192.168.137.186","TLSv1.1","141","Change Cipher Spec, Encrypted Handshake Message"
"129","6.621239","192.168.137.1","192.168.137.186","DNS","128","Standard query response 0x2527 A 52-11-11-135-pushcl.np.communication.playstation.net A 52.11.11.135"
"130","6.621312","192.168.137.1","192.168.137.186","DNS","128","Standard query response 0x2527 A 52-11-11-135-pushcl.np.communication.playstation.net A 52.11.11.135"
"131","6.627711","192.168.137.186","104.82.23.30","TLSv1.1","311","Application Data"
"132","6.627711","192.168.137.186","104.82.23.30","TLSv1.1","967","Application Data"
"133","6.627711","192.168.137.186","52.11.11.135","TCP","78","59330  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=0 TSecr=0"
"134","6.664672","104.82.23.30","192.168.137.186","TCP","66","443  >  59331 [ACK] Seq=6441 Ack=1549 Win=33024 Len=0 TSval=421654432 TSecr=0"
"135","6.689148","54.69.67.84","192.168.137.186","TCP","78","[TCP Dup ACK 122#1] 443  >  59332 [ACK] Seq=2588 Ack=664 Win=29184 Len=0 TSval=1132465729 TSecr=1 SLE=717 SRE=718"
"136","6.689173","54.69.67.84","192.168.137.186","TCP","66","443  >  59332 [ACK] Seq=2588 Ack=718 Win=29184 Len=0 TSval=1132465729 TSecr=1"
"137","6.689186","54.69.67.84","192.168.137.186","TCP","66","443  >  59332 [FIN, ACK] Seq=2588 Ack=718 Win=29184 Len=0 TSval=1132465729 TSecr=1"
"138","6.691368","192.168.137.186","54.69.67.84","TLSv1.1","119","[TCP Spurious Retransmission] , Encrypted Alert"
"139","6.691368","192.168.137.186","54.69.67.84","TCP","66","59332  >  443 [ACK] Seq=718 Ack=2589 Win=65535 Len=0 TSval=1 TSecr=1132465729"
"140","6.729666","52.11.11.135","192.168.137.186","TCP","74","443  >  59330 [SYN, ACK] Seq=0 Ack=1 Win=17898 Len=0 MSS=1460 SACK_PERM=1 TSval=3622627437 TSecr=0 WS=512"
"141","6.734437","192.168.137.186","52.11.11.135","TCP","66","59330  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=0 TSecr=3622627437"
"142","6.736066","192.168.137.186","52.11.11.135","TLSv1.1","126","Client Hello"
"143","6.792196","54.69.67.84","192.168.137.186","TCP","78","[TCP Dup ACK 136#1] 443  >  59332 [ACK] Seq=2589 Ack=718 Win=29184 Len=0 TSval=1132465755 TSecr=1 SLE=664 SRE=718"
"144","6.842687","52.11.11.135","192.168.137.186","TCP","66","443  >  59330 [ACK] Seq=1 Ack=61 Win=17920 Len=0 TSval=3622627551 TSecr=0"
"145","6.842712","52.11.11.135","192.168.137.186","TLSv1.1","1284","Server Hello, Certificate, Server Hello Done"
"146","6.926493","192.168.137.186","52.11.11.135","TLSv1.1","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"147","6.981390","Dell_c7:e0:05","Broadcast","ARP","42","Who has 10.0.0.1? Tell 192.168.137.1"
"148","7.029076","52.11.11.135","192.168.137.186","TLSv1.1","141","Change Cipher Spec, Encrypted Handshake Message"
"149","7.035961","192.168.137.186","52.11.11.135","TLSv1.1","1047","Application Data"
"150","7.041065","192.168.137.186","192.168.137.1","DNS","92","Standard query 0xef91 A asm.np.community.playstation.net"
"151","7.067868","192.168.137.1","192.168.137.186","DNS","297","Standard query response 0xef91 A asm.np.community.playstation.net CNAME 13673-wildcard.np.community.playstation.net.edgekey.net CNAME 13673-wildcard.np.community.playstation.net.edgekey.net.globalredir.akadns.net CNAME e13673.b.akamaiedge.net A 23.36.32.208"
"152","7.067945","192.168.137.1","192.168.137.186","DNS","297","Standard query response 0xef91 A asm.np.community.playstation.net CNAME 13673-wildcard.np.community.playstation.net.edgekey.net CNAME 13673-wildcard.np.community.playstation.net.edgekey.net.globalredir.akadns.net CNAME e13673.b.akamaiedge.net A 23.36.32.208"
"153","7.070591","192.168.137.186","23.36.32.208","TCP","78","59329  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=0 TSecr=0"
"154","7.093022","23.36.32.208","192.168.137.186","TCP","74","443  >  59329 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1168263386 TSecr=0 WS=128"
"155","7.096138","192.168.137.186","23.36.32.208","TCP","66","59329  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=0 TSecr=1168263386"
"156","7.101945","104.82.23.30","192.168.137.186","TLSv1.1","455","Application Data"
"157","7.101975","104.82.23.30","192.168.137.186","TLSv1.1","119","Encrypted Alert"
"158","7.102002","104.82.23.30","192.168.137.186","TCP","66","443  >  59331 [FIN, ACK] Seq=6883 Ack=1549 Win=33024 Len=0 TSval=421654877 TSecr=0"
"159","7.102295","192.168.137.186","23.36.32.208","TLSv1.1","126","Client Hello"
"160","7.104705","192.168.137.186","104.82.23.30","TCP","66","59331  >  443 [ACK] Seq=1549 Ack=6883 Win=65258 Len=0 TSval=1 TSecr=421654877"
