"No.","Time","Source","Destination","Protocol","Length","Info"
"42097","322.401904","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42098","322.401904","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42099","322.406323","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42100","322.406365","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42101","322.413124","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42102","322.413890","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42103","322.424401","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42104","322.424434","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42105","322.431522","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42106","322.431522","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42107","322.441257","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42108","322.441282","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42109","322.449019","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42110","322.449019","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42111","322.454297","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42112","322.454322","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42113","322.467464","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42114","322.467464","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42115","322.470687","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42116","322.470708","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42117","322.484289","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42118","322.484289","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42119","322.488417","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42120","322.488467","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42121","322.501493","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42122","322.501493","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42123","322.507623","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42124","322.507651","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42125","322.518877","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42126","322.518877","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42127","322.525381","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42128","322.525404","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42129","322.538547","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42130","322.538547","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42131","322.540881","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42132","322.545321","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42133","322.547793","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42134","322.547793","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42135","322.556649","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42136","322.556676","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42137","322.565567","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42138","322.565567","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42139","322.572176","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42140","322.572250","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42141","322.583407","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42142","322.583407","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42143","322.587940","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42144","322.587965","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42145","322.600677","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42146","322.600677","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42147","322.609903","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42148","322.609927","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42149","322.618065","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42150","322.618065","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42151","322.623205","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42152","322.623227","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42153","322.636110","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42154","322.636110","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
"42155","322.641371","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42156","322.641394","10.0.0.81","192.168.137.22","UDP","88","9305  >  9305 Len=46"
"42157","322.655485","192.168.137.22","10.0.0.81","UDP","88","9305  >  9305 Len=46"
